id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
nbr_agg_001@nbr_no_cloud|2015-12-22 00:00:00|2015-12-23 00:00:00|0.436326711117063|0.125143513203215|0.755146524582223|0.436326711117063|0.0669878771633616|0.00448737568685363|15.3526876665108|457386.456155839|11052744|12101010|1048266
nbr_agg_002@nbr_no_cloud|2016-01-01 00:00:00|2016-01-02 00:00:00|0.126621118757799|-0.193365583966828|0.423216338077977|0.126700496024849|0.0420673920083482|0.00176966547038404|33.2230455875331|132732.613675763|11052744|12101010|1048266
nbr_agg_003@nbr_no_cloud|2016-02-10 00:00:00|2016-02-11 00:00:00|0.281543180926795|-0.0303754266211604|0.441735251134528|0.281544303089278|0.0490219592768634|0.00240315249134246|17.4118794550416|295132.144097408|11052744|12101010|1048266
nbr_agg_004@nbr_no_cloud|2016-02-17 00:00:00|2016-02-18 00:00:00|0.37443284470198|-0.987577639751553|0.867549668874172|0.374640392332127|0.158062103679446|0.0249836286195719|42.2137389697347|392505.220384366|11052744|12101010|1048266
nbr_agg_005@nbr_no_cloud|2016-03-08 00:00:00|2016-03-09 00:00:00|0.54741010961492|0.363436343634363|0.687420314492138|0.54741010961492|0.0557700000803307|0.00311029290896009|10.1879740802673|573831.405965594|11052744|12101010|1048266
nbr_agg_006@nbr_no_cloud|2016-03-11 00:00:00|2016-03-12 00:00:00|0.247641958589701|0.075146771037182|0.331414722811269|0.247641958589701|0.0269446548172943|0.000726014423223143|10.8804884966755|259594.645362991|11052744|12101010|1048266
nbr_agg_007@nbr_no_cloud|2016-03-18 00:00:00|2016-03-19 00:00:00|0.208390966334983|-0.661747108097328|0.759666203059805|0.209748016511906|0.107199832987936|0.0114918041926415|51.4416890872398|218449.164716107|11052744|12101010|1048266
nbr_agg_008@nbr_no_cloud|2016-03-21 00:00:00|2016-03-22 00:00:00|0.184297767968693|-0.70418118466899|0.70234197935029|0.186140521024149|0.109561675125847|0.0120037606563816|59.4481834117808|193193.08403747|11052744|12101010|1048266
nbr_agg_009@nbr_no_cloud|2016-04-07 00:00:00|2016-04-08 00:00:00|0.122537491558962|-0.547945205479452|0.74036850921273|0.124959806437128|0.118849033190906|0.0141250926904132|96.9899348182096|128451.886126547|11052744|12101010|1048266
nbr_agg_010@nbr_no_cloud|2016-04-10 00:00:00|2016-04-11 00:00:00|0.304560038057342|0.110103626943005|0.617817947062621|0.304560038057342|0.0761912818111483|0.00580511142402582|25.0168348733931|319259.932854218|11052744|12101010|1048266
nbr_agg_011@nbr_no_cloud|2016-04-17 00:00:00|2016-04-18 00:00:00|0.0705508333206119|-0.463392857142857|0.639598278335725|0.0728949778942235|0.0615343133858694|0.00378647172387038|87.2198250391066|73956.0398416645|11052744|12101010|1048266
nbr_agg_012@nbr_no_cloud|2016-04-19 00:00:00|2016-04-20 00:00:00|0.57429357024569|0.034394250513347|0.730100836730315|0.57429357024569|0.0812869009458874|0.00660756026538652|14.1542418646812|602012.423707168|11052744|12101010|1048266
nbr_agg_013@nbr_no_cloud|2016-04-20 00:00:00|2016-04-21 00:00:00|0.279182539078087|-0.559613319011815|0.871134020618557|0.279521570936084|0.136163412149503|0.0185404748081954|48.7721805952262|292657.56350923|11052744|12101010|1048266
nbr_agg_014@nbr_no_cloud|2016-04-23 00:00:00|2016-04-24 00:00:00|0.421259773718773|0.318000884564352|0.481590181430096|0.421259773718773|0.0190161137109727|0.000361612580668645|4.51410623499684|441592.297957083|11052744|12101010|1048266
nbr_agg_015@nbr_no_cloud|2016-04-27 00:00:00|2016-04-28 00:00:00|0.283810229694345|0.00629410642761778|0.600142551674982|0.283810229694345|0.0486803347701214|0.00236977499333109|17.1524242880705|297508.614240772|11052744|12101010|1048266
nbr_agg_016@nbr_no_cloud|2016-04-30 00:00:00|2016-05-01 00:00:00|0.363534725335969|0.213209361974992|0.482570239334027|0.363534725335969|0.0392698139978414|0.00154211829142506|10.8022181269064|381081.092389035|11052744|12101010|1048266
nbr_agg_017@nbr_no_cloud|2016-05-07 00:00:00|2016-05-08 00:00:00|0.331597977793933|-0.654754694124773|0.824054398640034|0.332236143654121|0.166954522949509|0.0278738127332983|50.3484743966868|347602.885790135|11052744|12101010|1048266
nbr_agg_018@nbr_no_cloud|2016-05-10 00:00:00|2016-05-11 00:00:00|0.324648039748216|-0.597779954293177|0.905148095909732|0.326091927025402|0.159279706600662|0.0253700249347928|49.0622727074504|340317.502034703|11052744|12101010|1048266
nbr_agg_019@nbr_no_cloud|2016-05-19 00:00:00|2016-05-20 00:00:00|0.595512129518711|-0.0835129310344828|0.875621890547264|0.595512992295616|0.180253812577004|0.0324914369485458|30.2687054792124|624255.117962061|11052744|12101010|1048266
nbr_agg_020@nbr_no_cloud|2016-05-20 00:00:00|2016-05-21 00:00:00|0.281444820834785|-0.456498388829216|0.840354767184035|0.281752028080743|0.12922915811391|0.0167001753068298|45.9163390289461|295029.036557196|11052744|12101010|1048266
nbr_agg_021@nbr_no_cloud|2016-05-22 00:00:00|2016-05-23 00:00:00|0.200394952179855|-0.396029258098224|0.777634961439589|0.200704704923954|0.119494942376432|0.0142790412535468|59.6297167551331|210067.214941768|11052744|12101010|1048266
nbr_agg_022@nbr_no_cloud|2016-05-27 00:00:00|2016-05-28 00:00:00|0.615797901784552|-0.339285714285714|0.791417336296803|0.615805488747707|0.0729054075027365|0.00531519844314007|11.8391776411482|645520.003312085|11052744|12101010|1048266
nbr_agg_023@nbr_no_cloud|2016-05-30 00:00:00|2016-05-31 00:00:00|0.526298909473949|-0.11569703622393|0.797115384615385|0.52630152883854|0.134813626154829|0.0181747137970139|25.6154105068503|551701.252638619|11052744|12101010|1048266
nbr_agg_024@nbr_no_cloud|2016-06-16 00:00:00|2016-06-17 00:00:00|0.520488661924273|-0.340431654676259|0.78073198752667|0.520617118969423|0.212916853831878|0.0453335866456652|40.9071069953212|545610.56768071|11052744|12101010|1048266
nbr_agg_025@nbr_no_cloud|2016-06-19 00:00:00|2016-06-20 00:00:00|0.580592362921465|-0.708535031847134|0.951242163919201|0.580917200282702|0.179913661994546|0.0323689257722879|30.9879484272312|608615.233910232|11052744|12101010|1048266
nbr_agg_026@nbr_no_cloud|2016-06-26 00:00:00|2016-06-27 00:00:00|0.631070019581257|-0.113082039911308|0.749765990639626|0.631072559300421|0.0555945764380551|0.00309075692932675|8.80957337744305|661529.245146366|11052744|12101010|1048266
nbr_agg_027@nbr_no_cloud|2016-06-29 00:00:00|2016-06-30 00:00:00|0.659456180800303|-0.112730061349693|0.783783783783784|0.659460091810602|0.0589391975731794|0.00347382901057028|8.93754570647165|691285.49282281|11052744|12101010|1048266
nbr_agg_028@nbr_no_cloud|2016-07-06 00:00:00|2016-07-07 00:00:00|0.47297246159724|-0.180824814945365|0.796553640911618|0.472995702492828|0.210090169297814|0.0441378792355841|44.4191123915193|495800.950428693|11052744|12101010|1048266
nbr_agg_029@nbr_no_cloud|2016-07-07 00:00:00|2016-07-08 00:00:00|0.63839526751016|-0.152519893899204|0.79885993485342|0.638400213968548|0.069687652096031|0.00485636885465746|10.91606652534|669208.053491805|11052744|12101010|1048266
nbr_agg_030@nbr_no_cloud|2016-07-16 00:00:00|2016-07-17 00:00:00|0.355139416348822|0.232271667961381|0.496179442938132|0.355139416348822|0.0412514555861188|0.00170168258797353|11.615566644284|372280.575418314|11052744|12101010|1048266
nbr_agg_031@nbr_no_cloud|2016-07-19 00:00:00|2016-07-20 00:00:00|0.285031043566363|-0.00401456446643637|0.789566755083996|0.285031091463787|0.124450543958029|0.0154879378914492|43.6621016436946|298788.351915137|11052744|12101010|1048266
nbr_agg_032@nbr_no_cloud|2016-07-21 00:00:00|2016-07-22 00:00:00|0.652207518994242|-0.165483342435827|0.828859060402685|0.652210595756198|0.0638434167210066|0.0040759818586121|9.78881948792286|683686.967106018|11052744|12101010|1048266
nbr_agg_033@nbr_no_cloud|2016-07-26 00:00:00|2016-07-27 00:00:00|0.538484453286596|-0.105555555555556|0.856763925729443|0.538486807545899|0.188478907182424|0.0355242984526807|35.0017360820834|564474.943908926|11052744|12101010|1048266
nbr_agg_034@nbr_no_cloud|2016-07-29 00:00:00|2016-07-30 00:00:00|0.285175480437873|0.111300457982746|0.435383159886471|0.285175480437873|0.0585276513399646|0.00342548597137246|20.523381340534|298939.760176688|11052744|12101010|1048266
nbr_agg_035@nbr_no_cloud|2016-08-05 00:00:00|2016-08-06 00:00:00|0.622708953981415|-0.076893428406244|0.760593220338983|0.622710439817899|0.043975692363063|0.00193386151881076|7.06199775704132|652764.624354282|11052744|12101010|1048266
nbr_agg_036@nbr_no_cloud|2016-08-08 00:00:00|2016-08-09 00:00:00|0.644013694333659|-0.188913202042305|0.785833333333333|0.644018647313277|0.0446640801478904|0.00199488005545717|6.93526869705821|675097.659304367|11052744|12101010|1048266
