start,mean
2018-09-19 00:00:00,0.8156853083
2018-09-27 00:00:00,-0.0095846028
2018-09-29 00:00:00,0.5710037191
2018-10-02 00:00:00,0.6061365117
2018-10-04 00:00:00,0.323180755
2018-10-07 00:00:00,0.6350831001
2018-10-09 00:00:00,0.7067731745
2018-10-12 00:00:00,0.7494087192
2018-10-14 00:00:00,0.730374895
2018-10-17 00:00:00,0.6698695934
2018-10-19 00:00:00,0.5183734032
2018-10-22 00:00:00,0.2008104605
2018-11-06 00:00:00,-0.031159748
2018-11-08 00:00:00,0.6029291542
2018-12-01 00:00:00,0.3298404206
2019-01-02 00:00:00,0.2951897506
2019-01-05 00:00:00,-0.0040025705
2019-01-07 00:00:00,0.622211562
2019-01-15 00:00:00,0.1089092705
2019-01-25 00:00:00,0.0552157075
2019-01-27 00:00:00,0.1690807466
2019-02-14 00:00:00,0.0399475601
2019-02-19 00:00:00,0.5482878292
2019-02-26 00:00:00,0.5116313747
2019-03-06 00:00:00,0.3832055137
2019-03-08 00:00:00,0.2521876959
2019-03-11 00:00:00,0.334267626
2019-03-23 00:00:00,0.5917850557
2019-04-02 00:00:00,0.5691167175
2019-04-05 00:00:00,0.4260179674
2019-04-10 00:00:00,0.5200025533
