id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
ndvi_agg_001@ndvi_no_cloud|2015-12-22 00:00:00|2015-12-23 00:00:00|0.0136499527871115|-0.0869479495268139|0.141591269471131|0.0147834537263699|0.00988853329556581|9.77830907375136e-05|72.4437179365389|14308.7814083343|11052744|12101010|1048266
ndvi_agg_002@ndvi_no_cloud|2016-01-01 00:00:00|2016-01-02 00:00:00|0.0255808282863386|-0.0873931446593078|0.191638693927373|0.026030455257528|0.0148316537280821|0.000219977952309731|57.9795679876515|26815.512544407|11052744|12101010|1048266
ndvi_agg_003@ndvi_no_cloud|2016-02-10 00:00:00|2016-02-11 00:00:00|0.0342031351554415|-0.0607847123399065|0.295875898600076|0.0344939354177962|0.0213287586234901|0.000454915944419105|62.3590747648082|35853.983676854|11052744|12101010|1048266
ndvi_agg_004@ndvi_no_cloud|2016-02-17 00:00:00|2016-02-18 00:00:00|0.640042818589645|-0.198412698412698|0.997206703910615|0.640056998158215|0.136572295558027|0.018651991913989|21.3379935828307|670935.125271693|11052744|12101010|1048266
ndvi_agg_005@ndvi_no_cloud|2016-03-08 00:00:00|2016-03-09 00:00:00|0.0106517962951276|-0.0394848633904217|0.0553404323975476|0.0108113084727841|0.00670105738674965|4.49041701005121e-05|62.9101158253928|11165.9158951082|11052744|12101010|1048266
ndvi_agg_006@ndvi_no_cloud|2016-03-11 00:00:00|2016-03-12 00:00:00|0.0302742778534478|-0.0849809885931559|0.137674000898069|0.0306425246040901|0.0169857573874259|0.000288515954024493|56.106234704097|31735.4961483223|11052744|12101010|1048266
ndvi_agg_007@ndvi_no_cloud|2016-03-18 00:00:00|2016-03-19 00:00:00|0.0766993341818878|-0.317911434236616|0.799115603284902|0.0815848106694149|0.117318341550937|0.0137635932642623|152.958748341575|80401.3042455108|11052744|12101010|1048266
ndvi_agg_008@ndvi_no_cloud|2016-03-21 00:00:00|2016-03-22 00:00:00|0.0315313565958284|-0.462454973676919|0.731519274376417|0.0401608454223334|0.0717418555558004|0.00514689383858933|227.525432779165|33053.2490532826|11052744|12101010|1048266
ndvi_agg_009@ndvi_no_cloud|2016-04-07 00:00:00|2016-04-08 00:00:00|0.214611264150853|-0.389404369949117|0.790453074433657|0.215706310728406|0.149781140255794|0.0224343899763259|69.7918354138724|224969.691426358|11052744|12101010|1048266
ndvi_agg_010@ndvi_no_cloud|2016-04-10 00:00:00|2016-04-11 00:00:00|0.00966508982397917|-0.08022357389446|0.0926685762948053|0.0109541214228452|0.00830234614930231|6.8928951582835e-05|85.9003516832728|10131.5850494233|11052744|12101010|1048266
ndvi_agg_011@ndvi_no_cloud|2016-04-17 00:00:00|2016-04-18 00:00:00|0.189618845165012|-0.311912814731304|0.740942609810837|0.190560181108486|0.101725052533662|0.0103479863129763|53.64712164824|198770.988345746|11052744|12101010|1048266
ndvi_agg_012@ndvi_no_cloud|2016-04-19 00:00:00|2016-04-20 00:00:00|0.633007238394427|-0.113364055299539|0.866226259289843|0.633015917945427|0.136512006046065|0.0186355277947208|21.5656311280605|663559.965762773|11052744|12101010|1048266
ndvi_agg_013@ndvi_no_cloud|2016-04-20 00:00:00|2016-04-21 00:00:00|0.49070564359947|-0.660148347943358|0.887080964516761|0.490883281021869|0.18857551880343|0.0355607262919829|38.4294579170057|514390.042193442|11052744|12101010|1048266
ndvi_agg_014@ndvi_no_cloud|2016-04-23 00:00:00|2016-04-24 00:00:00|0.0803845830132308|0.0227542327186455|0.149649430324277|0.0803845830132308|0.0200104291338912|0.000400417274122482|24.8933668419946|84264.4252969474|11052744|12101010|1048266
ndvi_agg_015@ndvi_no_cloud|2016-04-27 00:00:00|2016-04-28 00:00:00|0.251017400098208|-0.132103596049935|0.792300805729633|0.251037983419952|0.0783952244850825|0.00614581122206649|31.2309921361671|263133.005931348|11052744|12101010|1048266
ndvi_agg_016@ndvi_no_cloud|2016-04-30 00:00:00|2016-05-01 00:00:00|0.0230830784265775|-0.0187698058015763|0.086020618556701|0.023085269397881|0.00644831120893115|4.15807174472271e-05|27.93523069049|24197.2062899147|11052744|12101010|1048266
ndvi_agg_017@ndvi_no_cloud|2016-05-07 00:00:00|2016-05-08 00:00:00|0.378453323293348|-0.484141232794734|0.860921843687375|0.380557529950569|0.275264961205767|0.0757707988676122|72.7341905232531|396719.751395425|11052744|12101010|1048266
ndvi_agg_018@ndvi_no_cloud|2016-05-10 00:00:00|2016-05-11 00:00:00|0.139043144916326|-0.469643556600078|0.86933575978162|0.154530488663257|0.233439183713898|0.0544938524930108|167.889746635389|145754.201348858|11052744|12101010|1048266
ndvi_agg_019@ndvi_no_cloud|2016-05-19 00:00:00|2016-05-20 00:00:00|0.656060922496022|-0.568846436443791|0.91338199513382|0.658338753933004|0.281649991710286|0.0793267178304042|42.9304630183935|687726.358981215|11052744|12101010|1048266
ndvi_agg_020@ndvi_no_cloud|2016-05-20 00:00:00|2016-05-21 00:00:00|0.0654905026789583|-0.336930645929218|0.849544072948328|0.076659912009362|0.166899783268698|0.0278555376551383|254.84578135987|68651.4672812609|11052744|12101010|1048266
ndvi_agg_021@ndvi_no_cloud|2016-05-22 00:00:00|2016-05-23 00:00:00|0.100856163239432|-0.36130262578847|0.874181264280274|0.10315914562703|0.162924767724066|0.0265444799379408|161.541707012275|105724.086814347|11052744|12101010|1048266
