start,mean
2018-09-19 00:00:00,0.5746488919
2018-09-27 00:00:00,0.2448401082
2018-09-29 00:00:00,0.4173352633
2018-10-02 00:00:00,0.5112595752
2018-10-04 00:00:00,0.4476063761
2018-10-07 00:00:00,0.4458055368
2018-10-09 00:00:00,0.5237961149
2018-10-12 00:00:00,0.5402217003
2018-10-14 00:00:00,0.5248630597
2018-10-17 00:00:00,0.4904346763
2018-10-19 00:00:00,0.378384724
2018-10-22 00:00:00,0.0526314513
2018-11-06 00:00:00,0.1078807295
2018-11-08 00:00:00,0.3303790146
2018-12-01 00:00:00,0.2352332794
2019-01-02 00:00:00,0.524259741
2019-01-05 00:00:00,0.4045619037
2019-01-07 00:00:00,0.5271647164
2019-01-15 00:00:00,0.3813344808
2019-01-25 00:00:00,0.4486067198
2019-01-27 00:00:00,0.0765967132
2019-02-14 00:00:00,0.1118881316
2019-02-19 00:00:00,0.3490262884
2019-02-26 00:00:00,0.2290160628
2019-03-06 00:00:00,0.1949983519
2019-03-08 00:00:00,0.17370095
2019-03-11 00:00:00,0.3496827341
2019-03-23 00:00:00,0.2362849333
2019-04-02 00:00:00,0.2294740075
2019-04-05 00:00:00,0.2204365158
2019-04-10 00:00:00,0.2271310294
