id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
db_s1a_iw_grd_vv_20150225t044319_20150225t044344_004775_005ed1_001@scaled|2015-02-25 04:43:19|2015-02-25 04:43:20|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20150225t044344_20150225t044409_004775_005ed1_001@scaled|2015-02-25 04:43:44|2015-02-25 04:43:45|-8.959345617282|-24.9397511434658|22.3196264983922|8.96160552122593|1.9641044621878|3.85770633838604|-21.9224098063498|-9386016.53361382|11046387|12094010|1047623
db_s1a_iw_grd_vv_20150228t161856_20150228t161921_004826_00600d_001@scaled|2015-02-28 16:18:56|2015-02-28 16:18:57|-22.8162324037258|-54.1189386901023|4.52457842099262|22.8166182505919|17.560888297059|308.384797781783|-76.9666436873748|-13844616.027792|11487222|12094010|606788
db_s1a_iw_grd_vv_20150304t043510_20150304t043535_004877_006140_001@scaled|2015-03-04 04:35:10|2015-03-04 04:35:11|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20150307t161036_20150307t161101_004928_00627a_001@scaled|2015-03-07 16:10:36|2015-03-07 16:10:37|-9.37515664384722|-25.1570782747634|1.85191596626071|9.37517121591335|1.97313986271407|3.89328091783131|-21.0464735435542|-9821657.85416709|11046384|12094010|1047626
db_s1a_iw_grd_vv_20150312t161856_20150312t161921_005001_006448_001@scaled|2015-03-12 16:18:56|2015-03-12 16:18:57|-27.3279161099811|-61.5926373490129|0.622213476597054|27.3279190155485|18.0764104803787|326.756615855145|-66.1463186861021|-16413064.4319063|11493413|12094010|600597
db_s1a_iw_grd_vv_20150316t043510_20150316t043535_005052_00657e_001@scaled|2015-03-16 04:35:10|2015-03-16 04:35:11|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vv_20150319t161030_20150319t161055_005103_0066b0_001@scaled|2015-03-19 16:10:30|2015-03-19 16:10:31|-8.44970086692254|-24.2678921189227|1.90949001994229|8.44972052068196|1.97436460840571|3.89811560692505|-23.366088805991|-8852126.32041059|11046384|12094010|1047626
db_s1a_iw_grd_vv_20150321t044345_20150321t044410_005125_00673e_001@scaled|2015-03-21 04:43:45|2015-03-21 04:43:46|-8.53772132550818|-23.6566612497231|21.9519909416317|8.54010545801282|2.02161150551048|4.08691307921234|-23.6785838801098|-8944304.69047153|11046388|12094010|1047622
db_s1a_iw_grd_vv_20150324t161857_20150324t161922_005176_006871_001@scaled|2015-03-24 16:18:57|2015-03-24 16:18:58|-27.1258458843259|-60.4962698001073|3.60184896813415|27.125894303457|18.2133066709093|331.72453988859|-67.1437371891635|-17522157.1557474|11448052|12094010|645958
db_s1a_iw_grd_vv_20150328t043536_20150328t043601_005227_0069a1_001@scaled|2015-03-28 04:35:36|2015-03-28 04:35:37|-8.57322135249434|-22.6182846726415|6.14482176788711|8.5733460294474|2.02239519139887|4.09008231019329|-23.5896766016716|-8981529.59262824|11046384|12094010|1047626
db_s1a_iw_grd_vv_20150331t161031_20150331t161056_005278_006ac8_001@scaled|2015-03-31 16:10:31|2015-03-31 16:10:32|-8.26051767209872|-22.8342164103341|4.48162605031152|8.26056245354208|1.96615885501976|3.86578064317259|-23.8018842530994|-8653933.08675009|11046384|12094010|1047626
