id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
db_s1a_iw_grd_vh_20150304t043510_20150304t043535_004877_006140_002@scaled|2015-03-04 04:35:10|2015-03-04 04:35:11|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150307t161036_20150307t161101_004928_00627a_002@scaled|2015-03-07 16:10:36|2015-03-07 16:10:37|-14.77803388571|-27.7447632221101|-2.06334083557112|14.77803388571|1.97838074457507|3.91399037050542|-13.3873068628441|-15481852.5275508|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150312t161856_20150312t161921_005001_006448_002@scaled|2015-03-12 16:18:56|2015-03-12 16:18:57|-33.2399328497429|-92.082238192479|-5.11218180612758|33.2399328497429|18.6840419781235|349.093424640279|-56.209626122238|-19904005.3105604|11495212|12094010|598798
db_s1a_iw_grd_vh_20150316t043510_20150316t043535_005052_00657e_002@scaled|2015-03-16 04:35:10|2015-03-16 04:35:11|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150319t161030_20150319t161055_005103_0066b0_002@scaled|2015-03-19 16:10:30|2015-03-19 16:10:31|-13.755715567355|-27.5388968447987|-1.80764395755068|13.755715567355|2.03377499739294|4.13624074002065|-14.7849451192454|-14410845.2769659|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150321t044345_20150321t044410_005125_00673e_002@scaled|2015-03-21 04:43:45|2015-03-21 04:43:46|-13.8724447532205|-26.6278301622321|6.95145282503824|13.8725627179232|2.09420211708336|4.38568250719641|-15.0961287237938|-14533133.8070374|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150324t161857_20150324t161922_005176_006871_002@scaled|2015-03-24 16:18:57|2015-03-24 16:18:58|-33.1635630373522|-73.3138267044921|-3.44337154566637|33.1635630373522|18.8913647023576|356.883660317483|-56.9642190770642|-21416863.1917069|11448215|12094010|645795
db_s1a_iw_grd_vh_20150328t043536_20150328t043601_005227_0069a1_002@scaled|2015-03-28 04:35:36|2015-03-28 04:35:37|-14.0647098756113|-27.0411801074045|4.27753418264964|14.0647456067256|2.07113858819602|4.28961505151459|-14.7257825188946|-14734555.7481472|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150331t161031_20150331t161056_005278_006ac8_002@scaled|2015-03-31 16:10:31|2015-03-31 16:10:32|-13.7043007528078|-29.1201086029136|-1.79421527866843|13.7043007528078|1.97763141755466|3.91102602369925|-14.4307356736131|-14356981.780461|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150402t044345_20150402t044410_005300_006b56_002@scaled|2015-04-02 04:43:45|2015-04-02 04:43:46|-13.5584875353468|-28.6148401794827|6.54329120833758|13.5585939807822|1.92441389365831|3.70336883410514|-14.1934259897454|-14204224.0627053|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150409t043511_20150409t043536_005402_006de5_002@scaled|2015-04-09 04:35:11|2015-04-09 04:35:12|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150412t161031_20150412t161056_005453_006f3c_002@scaled|2015-04-12 16:10:31|2015-04-12 16:10:32|-13.2111818797858|-26.8612485869102|-1.45014483364163|13.2111818797858|2.05020014664629|4.20332064130848|-15.5186732368227|-13840377.6279925|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150414t044321_20150414t044346_005475_006fdf_002@scaled|2015-04-14 04:43:21|2015-04-14 04:43:22|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150421t043511_20150421t043536_005577_00722e_002@scaled|2015-04-21 04:35:11|2015-04-21 04:35:12|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150421t043536_20150421t043601_005577_00722e_002@scaled|2015-04-21 04:35:36|2015-04-21 04:35:37|-14.3923890426145|-29.3970245025228|4.03278749950032|14.3924204021148|2.05673816703475|4.23017188773746|-14.2904569974098|-15077840.9631581|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150426t044346_20150426t044411_005650_0073f0_002@scaled|2015-04-26 04:43:46|2015-04-26 04:43:47|-13.5539359933152|-25.8933182131129|7.3961328931238|13.5540571481761|2.0378388010686|4.15278697914073|-15.035033381253|-14199455.7489328|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150503t043512_20150503t043537_005752_007630_002@scaled|2015-05-03 04:35:12|2015-05-03 04:35:13|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150503t043537_20150503t043602_005752_007630_002@scaled|2015-05-03 04:35:37|2015-05-03 04:35:38|-14.6013124355719|-40.1488985414653|5.47732167598853|14.6013607797713|2.0978853039533|4.40112274854323|-14.3677858631557|-15296714.5416285|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150506t161044_20150506t161109_005803_00775a_002@scaled|2015-05-06 16:10:44|2015-05-06 16:10:45|-13.1827250507864|-26.9962207134175|-0.642426009803536|13.1827250507864|1.94406272229063|3.77937986820004|-14.7470474791907|-13810565.5140551|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150508t044322_20150508t044347_005825_0077e8_002@scaled|2015-05-08 04:43:22|2015-05-08 04:43:23|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150518t161033_20150518t161058_005978_007b4f_002@scaled|2015-05-18 16:10:33|2015-05-18 16:10:34|-14.206628604362|-27.9481051657688|-2.08712116933758|14.206628604362|2.00311945368481|4.01248754573055|-14.0998931517769|-14883233.4982734|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150520t044323_20150520t044348_006000_007bc5_002@scaled|2015-05-20 04:43:23|2015-05-20 04:43:24|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150601t044343_20150601t044408_006175_0080a1_002@scaled|2015-06-01 04:43:43|2015-06-01 04:43:44|-14.5401471410685|-26.3308295774717|6.73185538379116|14.5402612442475|1.98983417934289|3.95944006128117|-13.6851034589782|-15232636.188809|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150608t043540_20150608t043605_006277_0083a6_002@scaled|2015-06-08 04:35:40|2015-06-08 04:35:41|-14.9871554071162|-28.3303075920263|5.50723762615513|14.9872098651697|2.03203563413125|4.12916881837921|-13.5585144674379|-15700858.7347585|11046389|12094010|1047621
db_s1a_iw_grd_vh_20150620t043540_20150620t043605_006452_0088ab_002@scaled|2015-06-20 04:35:40|2015-06-20 04:35:41|-15.0779115711056|-41.9352319594625|5.160341770544|15.0779559615446|2.01005741127855|4.04033079663582|-13.3311394074661|-15795997.1096795|11046385|12094010|1047625
db_s1a_iw_grd_vh_20150702t043515_20150702t043540_006627_008d77_002@scaled|2015-07-02 04:35:15|2015-07-02 04:35:16|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150702t043540_20150702t043605_006627_008d77_002@scaled|2015-07-02 04:35:40|2015-07-02 04:35:41|-15.0767484175576|-28.6475049517193|5.01461927138305|15.0767948663389|2.06631073617839|4.26964005844608|-13.7052809992643|-15794778.5609437|11046385|12094010|1047625
db_s1a_iw_grd_vh_20150710t161846_20150710t161911_006751_0090d1_002@scaled|2015-07-10 16:18:46|2015-07-10 16:18:47|-16.5193673287071|-85.6873189315543|-6.12472485745327|16.5193673287071|3.04891177426125|9.29586300722891|-18.4565892482026|-5223589.14301048|11777800|12094010|316210
